location,Depth,Al (µM),Ba (µM),Ca (µM),Fe (µM),K (µM),Li (µM),Mg (µM),Mn (µM),Na (µM),P (µM),Si (µM),Sr (µM),Flouride (mM),Chloride (mM),Nitrite-N (mM),Bromide (mM),Nitrate-N (mM),Sulfate (mM),Thiosulfate (mM),Phosphate-P (mM)
W3,3.12,399.7127132,3.136552414,44851.70585,258.6981825,428.6631388,5.684678195,18161.28369,206.2203453,4660.637881,8.153799297,812.9962613,23.1058358,0.031581607,0.93370945,0.002173677,0.026281538,0.006451197,3.311609894,0.000891925,0.002105935
W3,9.36,72.75293943,3.887145281,1085.998969,345.5755514,303.9177322,1.148059558,4067.201536,133.001444,1857.005529,22.47433575,778.8617885,2.124781252,0.031581607,0.795486601,0.002173677,0.021275531,0.008063996,0.80890314,-8.91033474,0.002105935
W3,21.84,132.6770313,5.371485578,25183.47555,320.3688781,881.0357484,7.953650336,28019.74902,110.0234203,18830.46176,109.7640902,1055.189603,16.36156129,0.052636011,0.643159379,0.002173677,0.036293552,0.008063996,0.632964104,-8.91033474,0.002105935
W3,42.12,69.82558464,3.604559433,1181.521034,859.7188647,180.3982952,1.226887608,2462.908866,249.5358404,1543.923293,24.76036121,935.9563229,2.476489386,0.026318006,0.677009873,0.002173677,0.026281538,0.087091155,0.184267511,-8.91033474,0.002105935
W4,3.12,310.3937193,3.121891544,1454.996091,196.5798191,318.4452181,2.047694524,6113.454022,162.1797905,2769.486625,4797.215057,317.2452673,726.6567755,0.031581607,0.708039492,-21.71503097,0.017521025,0.022579188,4.07678854,0,0.002105935
W4,12.48,341.9296518,5.342091019,50815.07727,474.384457,534.5841975,7.453458213,27497.08565,172.3567173,6003.703106,334.4773146,1139.991692,27.60480864,0.026318006,0.643159379,0.002173677,0.020024029,0.087091155,0.261305905,-8.91033474,0.00421187
W4,21.84,144.5251407,6.023069025,22725.35223,496.0456025,924.7801907,7.895773295,20103.27093,107.9896125,22192.40211,120.3913858,1067.734852,14.48489691,0.042108809,0.476727786,0.080426041,0.022527032,0.009676795,0.198842342,-8.91033474,0.00421187
W4,40.56,123.9791717,5.65992121,33988.72199,271.0955919,756.5205308,8.541258405,28536.92656,41.61418326,21639.83581,85.15719249,1105.952169,19.16875904,0.026318006,0.32157969,0.002173677,0.01376652,0.006451197,0.139501957,-8.91033474,0.007370772
C3,3.12,53.557962,2.55926851,2294.018331,235.3179932,117.7050324,2.507300673,2821.627923,63.14633465,3278.062205,30.18668526,856.5782446,2.014722666,0.021054405,0.327221439,0.002173677,0.016269523,0.009676795,0.217581411,-8.91033474,0.005264837
C3,12.48,79.47198644,2.238379925,433.3050551,156.5278897,68.16835174,0.85024976,869.2312969,59.22069728,995.5762798,16.43340425,770.8622635,0.739306094,0.005263601,1.221438646,-21.71503097,-0.001251502,-16.11186375,0.214458233,0.004459627,0.003158902
C3,24.96,28.19671725,1.987033382,426.0857994,97.6912287,58.79710031,0.717319885,742.7141193,48.14396835,731.8059827,5.015222592,1928.799478,0.734881686,0.021054405,0.217207334,0.002173677,0.01376652,0.006451197,0.243607895,-8.91033474,0.002105935
